Thu Jun  7 03:57:54 UTC 2018,,,,,
Setting up test: runsperthread=100 threads=1 totalruns=100,,,,,
run_id,thread_id,json,output,elapsed_time,sleep_time_ms
1,1,,,1752,-0.752
2,1,,,1917,-0.917
3,1,,,1655,-0.655
4,1,,,2381,-1.381
5,1,,,1759,-0.759
6,1,,,2158,-1.158
7,1,,,2146,-1.146
8,1,,,1859,-0.859
9,1,,,1728,-0.728
10,1,,,1901,-0.901
11,1,,,2207,-1.207
12,1,,,1496,-0.496
13,1,,,1982,-0.982
14,1,,,2037,-1.037
15,1,,,2149,-1.149
16,1,,,1866,-0.866
17,1,,,2202,-1.202
18,1,,,1712,-0.712
19,1,,,1810,-0.81
20,1,,,1940,-0.94
21,1,,,1610,-0.61
22,1,,,2193,-1.193
23,1,,,1919,-0.919
24,1,,,2056,-1.056
25,1,,,2255,-1.255
26,1,,,1779,-0.779
27,1,,,1635,-0.635
28,1,,,1634,-0.634
29,1,,,1612,-0.612
30,1,,,2076,-1.076
31,1,,,1820,-0.82
32,1,,,2231,-1.231
33,1,,,2235,-1.235
34,1,,,1460,-0.46
35,1,,,2013,-1.013
36,1,,,1612,-0.612
37,1,,,1559,-0.559
38,1,,,1553,-0.553
39,1,,,1824,-0.824
40,1,,,1848,-0.848
41,1,,,1750,-0.75
42,1,,,1962,-0.962
43,1,,,2260,-1.26
44,1,,,2241,-1.241
45,1,,,2027,-1.027
46,1,,,1996,-0.996
47,1,,,2094,-1.094
48,1,,,1953,-0.953
49,1,,,1889,-0.889
50,1,,,1863,-0.863
51,1,,,1536,-0.536
52,1,,,2243,-1.243
53,1,,,1984,-0.984
54,1,,,2065,-1.065
55,1,,,1553,-0.553
56,1,,,2252,-1.252
57,1,,,1780,-0.78
58,1,,,2030,-1.03
59,1,,,1556,-0.556
60,1,,,1595,-0.595
61,1,,,2563,-1.563
62,1,,,1946,-0.946
63,1,,,1919,-0.919
64,1,,,2124,-1.124
65,1,,,2112,-1.112
66,1,,,2286,-1.286
67,1,,,2094,-1.094
68,1,,,1740,-0.74
69,1,,,2101,-1.101
70,1,,,2096,-1.096
71,1,,,1982,-0.982
72,1,,,2423,-1.423
73,1,,,1941,-0.941
74,1,,,1856,-0.856
75,1,,,1962,-0.962
76,1,,,1888,-0.888
77,1,,,2249,-1.249
78,1,,,1920,-0.92
79,1,,,1591,-0.591
80,1,,,1822,-0.822
81,1,,,1769,-0.769
82,1,,,2174,-1.174
83,1,,,1590,-0.59
84,1,,,1659,-0.659
85,1,,,1856,-0.856
86,1,,,2238,-1.238
87,1,,,1825,-0.825
88,1,,,1481,-0.481
89,1,,,1903,-0.903
90,1,,,1274,-0.274
91,1,,,940,0.06
92,1,,,1398,-0.398
93,1,,,1135,-0.135
94,1,,,1049,-0.049
95,1,,,1076,-0.076
96,1,,,2017,-1.017
97,1,,,1426,-0.426
98,1,,,2062,-1.062
99,1,,,1657,-0.657
100,1,,,1705,-0.705
,,,,1870.59,
