Thu Jun  7 03:57:54 UTC 2018,,,,,
Setting up test: runsperthread=100 threads=1 totalruns=100,,,,,
run_id,thread_id,json,output,elapsed_time,sleep_time_ms
1,1,,,1811,-0.811
2,1,,,2075,-1.075
3,1,,,2018,-1.018
4,1,,,1641,-0.641
5,1,,,1804,-0.804
6,1,,,1463,-0.463
7,1,,,1960,-0.96
8,1,,,2049,-1.049
9,1,,,1617,-0.617
10,1,,,2175,-1.175
11,1,,,1981,-0.981
12,1,,,2051,-1.051
13,1,,,1510,-0.51
14,1,,,2144,-1.144
15,1,,,1918,-0.918
16,1,,,2049,-1.049
17,1,,,1977,-0.977
18,1,,,1594,-0.594
19,1,,,2036,-1.036
20,1,,,1773,-0.773
21,1,,,1655,-0.655
22,1,,,1697,-0.697
23,1,,,2203,-1.203
24,1,,,1974,-0.974
25,1,,,1836,-0.836
26,1,,,1537,-0.537
27,1,,,1789,-0.789
28,1,,,2119,-1.119
29,1,,,2004,-1.004
30,1,,,2033,-1.033
31,1,,,1894,-0.894
32,1,,,1996,-0.996
33,1,,,1586,-0.586
34,1,,,1961,-0.961
35,1,,,2115,-1.115
36,1,,,2108,-1.108
37,1,,,1726,-0.726
38,1,,,1913,-0.913
39,1,,,2232,-1.232
40,1,,,1929,-0.929
41,1,,,1959,-0.959
42,1,,,1855,-0.855
43,1,,,1962,-0.962
44,1,,,1871,-0.871
45,1,,,2099,-1.099
46,1,,,1832,-0.832
47,1,,,1976,-0.976
48,1,,,1815,-0.815
49,1,,,1989,-0.989
50,1,,,2129,-1.129
51,1,,,1588,-0.588
52,1,,,1974,-0.974
53,1,,,1778,-0.778
54,1,,,1997,-0.997
55,1,,,2147,-1.147
56,1,,,1555,-0.555
57,1,,,1386,-0.386
58,1,,,1656,-0.656
59,1,,,1933,-0.933
60,1,,,2050,-1.05
61,1,,,1919,-0.919
62,1,,,1875,-0.875
63,1,,,1895,-0.895
64,1,,,1702,-0.702
65,1,,,1712,-0.712
66,1,,,2033,-1.033
67,1,,,2196,-1.196
68,1,,,1674,-0.674
69,1,,,1819,-0.819
70,1,,,1571,-0.571
71,1,,,1381,-0.381
72,1,,,1992,-0.992
73,1,,,1685,-0.685
74,1,,,2034,-1.034
75,1,,,1788,-0.788
76,1,,,1484,-0.484
77,1,,,1745,-0.745
78,1,,,1944,-0.944
79,1,,,2231,-1.231
80,1,,,2219,-1.219
81,1,,,2515,-1.515
82,1,,,1986,-0.986
83,1,,,2032,-1.032
84,1,,,1799,-0.799
85,1,,,2080,-1.08
86,1,,,1817,-0.817
87,1,,,2236,-1.236
88,1,,,1583,-0.583
89,1,,,2200,-1.2
90,1,,,1703,-0.703
91,1,,,1919,-0.919
92,1,,,1251,-0.251
93,1,,,1496,-0.496
94,1,,,1188,-0.188
95,1,,,1301,-0.301
96,1,,,1016,-0.016
97,1,,,2091,-1.091
98,1,,,1955,-0.955
99,1,,,2375,-1.375
100,1,,,2223,-1.223
,,,,1871.69,
