Thu Jun  7 23:55:43 UTC 2018,,,,,
Setting up test: runsperthread=100 threads=1 totalruns=100,,,,,
run_id,thread_id,json,output,elapsed_time,sleep_time_ms
1,1,,,4146,-3.146
2,1,,,1130,-0.13
3,1,,,1062,-0.062
4,1,,,1247,-0.247
5,1,,,1092,-0.092
6,1,,,1625,-0.625
7,1,,,1836,-0.836
8,1,,,2045,-1.045
9,1,,,1442,-0.442
10,1,,,1665,-0.665
11,1,,,1867,-0.867
12,1,,,1777,-0.777
13,1,,,1455,-0.455
14,1,,,1574,-0.574
15,1,,,1727,-0.727
16,1,,,1825,-0.825
17,1,,,1817,-0.817
18,1,,,1928,-0.928
19,1,,,1709,-0.709
20,1,,,1210,-0.21
21,1,,,1589,-0.589
22,1,,,1952,-0.952
23,1,,,1830,-0.83
24,1,,,1928,-0.928
25,1,,,1546,-0.546
26,1,,,1595,-0.595
27,1,,,2434,-1.434
28,1,,,1709,-0.709
29,1,,,1669,-0.669
30,1,,,1952,-0.952
31,1,,,1729,-0.729
32,1,,,1713,-0.713
33,1,,,1608,-0.608
34,1,,,1675,-0.675
35,1,,,1680,-0.68
36,1,,,2527,-1.527
37,1,,,1711,-0.711
38,1,,,1734,-0.734
39,1,,,2119,-1.119
40,1,,,1562,-0.562
41,1,,,1547,-0.547
42,1,,,1841,-0.841
43,1,,,1606,-0.606
44,1,,,1386,-0.386
45,1,,,1617,-0.617
46,1,,,1326,-0.326
47,1,,,1818,-0.818
48,1,,,1591,-0.591
49,1,,,1717,-0.717
50,1,,,1530,-0.53
51,1,,,1631,-0.631
52,1,,,1350,-0.35
53,1,,,1590,-0.59
54,1,,,1390,-0.39
55,1,,,1669,-0.669
56,1,,,1621,-0.621
57,1,,,1556,-0.556
58,1,,,1581,-0.581
59,1,,,1682,-0.682
60,1,,,1765,-0.765
61,1,,,1571,-0.571
62,1,,,1531,-0.531
63,1,,,1518,-0.518
64,1,,,1542,-0.542
65,1,,,1620,-0.62
66,1,,,1644,-0.644
67,1,,,1388,-0.388
68,1,,,1408,-0.408
69,1,,,1391,-0.391
70,1,,,1559,-0.559
71,1,,,1506,-0.506
72,1,,,1738,-0.738
73,1,,,1829,-0.829
74,1,,,1839,-0.839
75,1,,,1530,-0.53
76,1,,,1638,-0.638
77,1,,,1371,-0.371
78,1,,,1521,-0.521
79,1,,,1412,-0.412
80,1,,,1710,-0.71
81,1,,,1641,-0.641
82,1,,,1759,-0.759
83,1,,,1533,-0.533
84,1,,,1600,-0.6
85,1,,,1774,-0.774
86,1,,,1796,-0.796
87,1,,,1952,-0.952
88,1,,,2031,-1.031
89,1,,,1249,-0.249
90,1,,,1954,-0.954
91,1,,,1868,-0.868
92,1,,,1511,-0.511
93,1,,,1762,-0.762
94,1,,,1749,-0.749
95,1,,,1591,-0.591
96,1,,,1623,-0.623
97,1,,,2027,-1.027
98,1,,,1871,-0.871
99,1,,,1926,-0.926
100,1,,,1388,-0.388
,,,,1681.26,
