Thu Jun  7 23:55:43 UTC 2018,,,,,
Setting up test: runsperthread=100 threads=1 totalruns=100,,,,,
run_id,thread_id,json,output,elapsed_time,sleep_time_ms
1,1,,,1790,-0.79
2,1,,,1034,-0.034
3,1,,,1090,-0.09
4,1,,,953,0.047
5,1,,,1043,-0.043
6,1,,,952,0.048
7,1,,,1103,-0.103
8,1,,,947,0.053
9,1,,,1549,-0.549
10,1,,,2198,-1.198
11,1,,,1791,-0.791
12,1,,,1729,-0.729
13,1,,,1871,-0.871
14,1,,,1776,-0.776
15,1,,,1528,-0.528
16,1,,,1606,-0.606
17,1,,,1812,-0.812
18,1,,,1732,-0.732
19,1,,,1850,-0.85
20,1,,,1473,-0.473
21,1,,,1829,-0.829
22,1,,,1571,-0.571
23,1,,,1228,-0.228
24,1,,,2024,-1.024
25,1,,,1859,-0.859
26,1,,,1554,-0.554
27,1,,,1728,-0.728
28,1,,,1424,-0.424
29,1,,,1758,-0.758
30,1,,,1893,-0.893
31,1,,,1762,-0.762
32,1,,,1864,-0.864
33,1,,,1823,-0.823
34,1,,,1592,-0.592
35,1,,,1676,-0.676
36,1,,,1666,-0.666
37,1,,,2003,-1.003
38,1,,,1658,-0.658
39,1,,,2098,-1.098
40,1,,,1988,-0.988
41,1,,,1634,-0.634
42,1,,,1346,-0.346
43,1,,,1611,-0.611
44,1,,,1633,-0.633
45,1,,,1411,-0.411
46,1,,,1668,-0.668
47,1,,,1808,-0.808
48,1,,,1746,-0.746
49,1,,,1698,-0.698
50,1,,,1572,-0.572
51,1,,,1744,-0.744
52,1,,,1571,-0.571
53,1,,,1446,-0.446
54,1,,,1595,-0.595
55,1,,,1696,-0.696
56,1,,,1639,-0.639
57,1,,,1459,-0.459
58,1,,,1622,-0.622
59,1,,,1550,-0.55
60,1,,,1728,-0.728
61,1,,,1931,-0.931
62,1,,,1544,-0.544
63,1,,,1439,-0.439
64,1,,,1592,-0.592
65,1,,,1209,-0.209
66,1,,,1631,-0.631
67,1,,,1742,-0.742
68,1,,,1365,-0.365
69,1,,,1722,-0.722
70,1,,,1749,-0.749
71,1,,,1511,-0.511
72,1,,,1670,-0.67
73,1,,,1775,-0.775
74,1,,,1820,-0.82
75,1,,,1721,-0.721
76,1,,,2174,-1.174
77,1,,,1762,-0.762
78,1,,,1570,-0.57
79,1,,,2037,-1.037
80,1,,,1386,-0.386
81,1,,,1715,-0.715
82,1,,,1593,-0.593
83,1,,,1389,-0.389
84,1,,,1735,-0.735
85,1,,,1895,-0.895
86,1,,,1663,-0.663
87,1,,,1571,-0.571
88,1,,,1572,-0.572
89,1,,,1628,-0.628
90,1,,,1412,-0.412
91,1,,,1846,-0.846
92,1,,,1578,-0.578
93,1,,,1774,-0.774
94,1,,,1825,-0.825
95,1,,,1834,-0.834
96,1,,,1714,-0.714
97,1,,,1691,-0.691
98,1,,,1587,-0.587
99,1,,,1935,-0.935
100,1,,,1547,-0.547
,,,,1638.56,
