Thu Jun  7 23:55:43 UTC 2018,,,,,
Setting up test: runsperthread=100 threads=1 totalruns=100,,,,,
run_id,thread_id,json,output,elapsed_time,sleep_time_ms
1,1,,,3418,-2.418
2,1,,,1049,-0.049
3,1,,,1053,-0.053
4,1,,,1026,-0.026
5,1,,,1252,-0.252
6,1,,,1112,-0.112
7,1,,,1879,-0.879
8,1,,,1822,-0.822
9,1,,,1630,-0.63
10,1,,,2004,-1.004
11,1,,,1844,-0.844
12,1,,,1684,-0.684
13,1,,,2152,-1.152
14,1,,,1919,-0.919
15,1,,,1680,-0.68
16,1,,,1735,-0.735
17,1,,,1599,-0.599
18,1,,,1710,-0.71
19,1,,,1865,-0.865
20,1,,,1825,-0.825
21,1,,,1677,-0.677
22,1,,,1828,-0.828
23,1,,,2013,-1.013
24,1,,,2052,-1.052
25,1,,,1995,-0.995
26,1,,,1809,-0.809
27,1,,,2107,-1.107
28,1,,,1772,-0.772
29,1,,,2029,-1.029
30,1,,,1691,-0.691
31,1,,,1690,-0.69
32,1,,,1951,-0.951
33,1,,,2050,-1.05
34,1,,,1892,-0.892
35,1,,,1756,-0.756
36,1,,,2061,-1.061
37,1,,,1642,-0.642
38,1,,,1822,-0.822
39,1,,,1491,-0.491
40,1,,,1731,-0.731
41,1,,,1432,-0.432
42,1,,,1550,-0.55
43,1,,,1506,-0.506
44,1,,,1676,-0.676
45,1,,,1552,-0.552
46,1,,,1871,-0.871
47,1,,,1714,-0.714
48,1,,,1609,-0.609
49,1,,,1751,-0.751
50,1,,,1683,-0.683
51,1,,,1343,-0.343
52,1,,,1787,-0.787
53,1,,,1970,-0.97
54,1,,,1895,-0.895
55,1,,,1731,-0.731
56,1,,,1707,-0.707
57,1,,,1512,-0.512
58,1,,,1551,-0.551
59,1,,,1545,-0.545
60,1,,,1700,-0.7
61,1,,,1860,-0.86
62,1,,,1299,-0.299
63,1,,,1952,-0.952
64,1,,,1675,-0.675
65,1,,,1772,-0.772
66,1,,,1486,-0.486
67,1,,,1465,-0.465
68,1,,,1729,-0.729
69,1,,,1989,-0.989
70,1,,,1696,-0.696
71,1,,,2441,-1.441
72,1,,,1409,-0.409
73,1,,,1669,-0.669
74,1,,,1672,-0.672
75,1,,,1395,-0.395
76,1,,,1869,-0.869
77,1,,,1750,-0.75
78,1,,,1436,-0.436
79,1,,,1550,-0.55
80,1,,,1499,-0.499
81,1,,,1462,-0.462
82,1,,,1729,-0.729
83,1,,,1833,-0.833
84,1,,,1538,-0.538
85,1,,,1555,-0.555
86,1,,,1994,-0.994
87,1,,,1498,-0.498
88,1,,,1350,-0.35
89,1,,,1723,-0.723
90,1,,,1582,-0.582
91,1,,,1569,-0.569
92,1,,,1715,-0.715
93,1,,,1568,-0.568
94,1,,,1547,-0.547
95,1,,,1566,-0.566
96,1,,,1844,-0.844
97,1,,,1850,-0.85
98,1,,,1953,-0.953
99,1,,,1368,-0.368
100,1,,,1591,-0.591
,,,,1708.5,
